year,weeknum,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,update_date
2024,41,พิษณุโลก,2,497,2,497,0,1,2024-10-20 21:48:10
2024,41,ประจวบคีรีขันธ์,2,247,2,247,0,4,2024-10-20 21:48:10
2024,41,สมุทรปราการ,6,729,6,729,0,6,2024-10-20 21:48:10
2024,41,กาญจนบุรี,0,65,0,65,0,12,2024-10-20 21:48:10
2024,41,ขอนแก่น,12,1269,12,1269,0,0,2024-10-20 21:48:10
2024,41,สตูล,0,12,0,12,0,0,2024-10-20 21:48:10
2024,41,ชัยนาท,0,46,0,46,0,1,2024-10-20 21:48:10
2024,41,นครศรีธรรมราช,0,678,0,678,0,0,2024-10-20 21:48:10
2024,41,พังงา,0,15,0,15,0,0,2024-10-20 21:48:10
2024,41,สกลนคร,1,87,1,87,0,0,2024-10-20 21:48:10
2024,41,กาฬสินธุ์,1,247,1,247,0,0,2024-10-20 21:48:10
2024,41,พระนครศรีอยุธยา,2,277,2,277,0,6,2024-10-20 21:48:10
2024,41,หนองบัวลำภู,0,80,0,80,0,0,2024-10-20 21:48:10
2024,41,ชัยภูมิ,0,171,0,171,0,1,2024-10-20 21:48:10
2024,41,ไม่ระบุ,24,1735,24,1735,0,0,2024-10-20 21:48:10
2024,41,พัทลุง,0,162,0,162,0,0,2024-10-20 21:48:10
2024,41,นครพนม,0,150,0,150,0,0,2024-10-20 21:48:10
2024,41,สุรินทร์,2,711,2,711,0,11,2024-10-20 21:48:10
2024,41,อำนาจเจริญ,1,53,1,53,0,1,2024-10-20 21:48:10
2024,41,ตรัง,0,360,0,360,0,0,2024-10-20 21:48:10
2024,41,กรุงเทพมหานคร,255,7476,255,7476,0,23,2024-10-20 21:48:10
2024,41,มหาสารคาม,0,42,0,42,0,0,2024-10-20 21:48:10
2024,41,จันทบุรี,2,786,2,786,0,6,2024-10-20 21:48:10
2024,41,ปทุมธานี,2,692,2,692,0,3,2024-10-20 21:48:10
2024,41,สมุทรสงคราม,0,105,0,105,0,4,2024-10-20 21:48:10
2024,41,เชียงใหม่,1,1061,1,1061,0,4,2024-10-20 21:48:10
2024,41,ชลบุรี,8,3105,8,3105,0,19,2024-10-20 21:48:10
2024,41,ระนอง,0,4,0,4,0,0,2024-10-20 21:48:10
2024,41,ลำพูน,0,126,0,126,0,1,2024-10-20 21:48:10
2024,41,สุราษฎร์ธานี,4,970,4,970,0,9,2024-10-20 21:48:10
2024,41,ทั้งประเทศ,399,40096,399,40096,1,212,2024-10-20 21:48:10
2024,41,นครปฐม,1,264,1,264,0,2,2024-10-20 21:48:10
2024,41,อุตรดิตถ์,0,219,0,219,0,5,2024-10-20 21:48:10
2024,41,ชุมพร,4,1165,4,1165,0,0,2024-10-20 21:48:10
2024,41,ปัตตานี,0,29,0,29,0,0,2024-10-20 21:48:10
2024,41,อุบลราชธานี,2,824,2,824,0,3,2024-10-20 21:48:10
2024,41,สมุทรสาคร,4,629,4,629,0,12,2024-10-20 21:48:10
2024,41,มุกดาหาร,0,87,0,87,0,0,2024-10-20 21:48:10
